ADDRESS		INSTRUCTION			BINARY						HEXADECIMAL		DESCRIPTION
================================================================================================================================================================================
0x00000000	ADDI r1, r0, #7			000000000111_00000_000_00001_0010011		0x00700093		r1 = 7
0x00000004	ADDI r2, r0, #3			000000000011_00000_000_00010_0010011		0x00300113		r2 = 3
0x00000008	ADD r3, r1, r2			0000000_00010_00001_000_00011_0110011		0x002081B3		r3 = 7+3 (should equal 10)
0x0000000C	ADDI r4, r1, #-2		111111111110_00001_000_00100_0010011		0xFFE08213		r4 = r1 - 2 (should equal 5)
0x00000010	SUB r5, r4, r2			0100000_00010_00100_000_00101_0110011		0x402082B3		r5 = r4 - r2 (should equal 2)
0x00000014	SW r3, 0(r0)			0000000_00011_00000_010_00000_0100011		0x00302023		Store r3's value at (r0 + 0) (should store 0xa in 0x0)
0x00000018	LW r6, 0(r0)			000000000000_00000_010_00110_0000011		0x00002303		Load 0x0 from data memory into r6 (should load 0xa)
0x0000001C	JAL r7, #20			0_0000001010_0_00000000_00111_1101111		0x014003EF		Jump to BEQ instruction, r7 = 0x20
0x00000020	ADDI r0, r0, #0			000000000000_00000_000_00000_0010011		0x00000013		NOP
0x00000024	ADDI r0, r0, #0			000000000000_00000_000_00000_0010011		0x00000013		NOP
0x00000028	ADDI r0, r0, #0			000000000000_00000_000_00000_0010011		0x00000013		NOP
0x0000002C	ADDI r0, r0, #0			000000000000_00000_000_00000_0010011		0x00000013		NOP
0x00000030	ADDI r8, r4, #0			000000000000_00100_000_01000_0010011		0x00020413		Move value in r4 (5) into r8
0x00000034	BEQ r8, r1, #-48		1_111110_00001_01000_000_1000_1_1100011		0xFC1408E3		This branch shouldn't be taken
0x00000038	ADDI r0, r0, #0			000000000000_00000_000_00000_0010011		0x00000013		NOP
0x0000003C	BEQ r8, r4, #-60		1_111110_00100_01000_000_0010_1_1100011		0xFC4402E3		This branch should be taken
0x00000040	ADDI r9, r0, #14		000000001110_00000_000_01001_0010011		0x00E00493		Move 14 (E) into register 9 to show the program is complete.
0x00000044	ADDI r0, r0, #0			000000000000_00000_000_00000_0010011		0x00000013		NOP
